;AA_ELEICAO;NR_ZONA;NR_SECAO;CD_TIPO_SECAO_AGREGADA;DS_TIPO_SECAO_AGREGADA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;CD_TIPO_LOCAL;DS_TIPO_LOCAL;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE;CD_SITU_LOCAL_VOTACAO;DS_SITU_LOCAL_VOTACAO;CD_SITU_ZONA;DS_SITU_ZONA;CD_SITU_SECAO;DS_SITU_SECAO;CD_SITU_LOCALIDADE;DS_SITU_LOCALIDADE;CD_SITU_SECAO_ACESSIBILIDADE;DS_SITU_SECAO_ACESSIBILIDADE;QT_ELEITOR;QT_ELEITOR_ELEICAO
0;2016;414;125;1;Principal;1104;EMEB. ALDINO PINOTTI;1;Convencional;RUA DOS VIANAS, 2399;JARDIM FARINA;9760510;-23,70620681;-46,53198019;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;1;Com acessibilidade;365;365
1;2016;283;252;1;Principal;1139;EMEB. PROFª MARIA JUSTINA DE CAMARGO;1;Convencional;RUA ANTONIO PEREIRA DE MATOS, 100;JARDIM VERA CRUZ;9860040;-23,69886241;-46,58042219;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;379;379
2;2016;409;180;1;Principal;1155;EE. PROF. DOMINGOS PEIXOTO DA SILVA;1;Convencional;ESTRADA DOS ALVARENGA, 7199;ALVARENGA;9850550;-23,7451778;-46,607764;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;348;348
3;2016;174;390;1;Principal;1937;EMEB EDSON DANILO DOTTO;1;Convencional;RUA HUM, 1875;PARQUE SELETA;9791530;-1,0;-1,0;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;300;300
4;2016;283;347;1;Principal;1155;EE. VINTE DE AGOSTO;1;Convencional;AVENIDA KENNEDY, 919;JARDIM DO MAR;9726263;-23,68178897;-46,55810918;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;1;Com acessibilidade;137;137
5;2016;296;354;1;Principal;1430;EMEB. MARIANA NEVES INTERLICHE;1;Convencional;RUA ANGELO PESSOTTI, 442;VILA CLARAVAL;9811060;-23,7244224;-46,5655223;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;1;Com acessibilidade;288;288
6;2016;174;220;1;Principal;1210;EE METALURGICO LUIS DOS SANTOS;1;Convencional;RUA PRIMO BECHELLI, 133;MONTANHÃO;9791620;-1,0;-1,0;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;342;342
7;2016;284;88;1;Principal;1082;EE. DR. FAUSTO CARDOSO FIGUEIRA DE MELLO;1;Convencional;RUA FRANCISCO ALVES, 580;PAULICÉIA;9692000;-23,6691883;-46,5855106;5;BLOQUEADO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;370;370
8;2016;409;237;1;Principal;1287;EM. ISIDORO BATTISTIN;1;Convencional;ESTRADA GALVAO BUENO, 5085;BATISTINI;9842080;-23,7560124;-46,5772359;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;386;386
9;2016;296;53;1;Principal;1058;EE. PROFª. MARIA OSÓRIO TEIXEIRA;1;Convencional;RUA JOSE DIAS DONADELLI, 567;JARDIM BELITA;9851180;-23,7160163;-46,5891974;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;367;367
10;2016;296;422;1;Principal;1090;EE. PROF JOAO BATISTA BERNARDES;1;Convencional;RUA JOAO XXIII, 340;JARDIM NAZARETH;9851630;-23,7149755;-46,5938781;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;383;383
11;2016;284;44;1;Principal;1031;EE. LAURO GOMES DE ALMEIDA;1;Convencional;RUA GAL. CRAVEIRO LOPES, 110;VILA CAMARGO;9634010;-23,6523798;-46,5684551;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;312;312
12;2016;283;72;1;Principal;1082;EE. ENGENHEIRO FRANCISCO PRESTES MAIA;1;Convencional;AVENIDA ÁLVARO GUIMARÃES, 350;PLANALTO;9890001;-23,69373327;-46,56814652;1;ATIVO;1;ATIVO;1;ATIVO;1;ATIVO;0;Sem acessibilidade;389;389
