AA_ELEICAO,NR_ZONA,NR_SECAO,CD_TIPO_SECAO_AGREGADA,DS_TIPO_SECAO_AGREGADA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,CD_TIPO_LOCAL,DS_TIPO_LOCAL,DS_ENDERECO,NM_BAIRRO,NR_CEP,NR_LATITUDE,NR_LONGITUDE,CD_SITU_LOCAL_VOTACAO,DS_SITU_LOCAL_VOTACAO,CD_SITU_ZONA,DS_SITU_ZONA,CD_SITU_SECAO,DS_SITU_SECAO,CD_SITU_LOCALIDADE,DS_SITU_LOCALIDADE,CD_SITU_SECAO_ACESSIBILIDADE,DS_SITU_SECAO_ACESSIBILIDADE,QT_ELEITOR,QT_ELEITOR_ELEICAO
2016,414,125,1,Principal,1104,EMEB. ALDINO PINOTTI,1,Convencional,"RUA DOS VIANAS, 2399",JARDIM FARINA,9760510,-23.70620681,-46.53198019,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,1,Com acessibilidade,365,365
2016,283,252,1,Principal,1139,EMEB. PROFª MARIA JUSTINA DE CAMARGO,1,Convencional,"RUA ANTONIO PEREIRA DE MATOS, 100",JARDIM VERA CRUZ,9860040,-23.69886241,-46.58042219,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,379,379
2016,409,180,1,Principal,1155,EE. PROF. DOMINGOS PEIXOTO DA SILVA,1,Convencional,"ESTRADA DOS ALVARENGA, 7199",ALVARENGA,9850550,-23.7451778,-46.607764,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,348,348
2016,174,390,1,Principal,1937,EMEB EDSON DANILO DOTTO,1,Convencional,"RUA HUM, 1875",PARQUE SELETA,9791530,-1.0,-1.0,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,300,300
2016,283,347,1,Principal,1155,EE. VINTE DE AGOSTO,1,Convencional,"AVENIDA KENNEDY, 919",JARDIM DO MAR,9726263,-23.68178897,-46.55810918,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,1,Com acessibilidade,137,137
2016,296,354,1,Principal,1430,EMEB. MARIANA NEVES INTERLICHE,1,Convencional,"RUA ANGELO PESSOTTI, 442",VILA CLARAVAL,9811060,-23.7244224,-46.5655223,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,1,Com acessibilidade,288,288
2016,174,220,1,Principal,1210,EE METALURGICO LUIS DOS SANTOS,1,Convencional,"RUA PRIMO BECHELLI, 133",MONTANHÃO,9791620,-1.0,-1.0,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,342,342
2016,284,88,1,Principal,1082,EE. DR. FAUSTO CARDOSO FIGUEIRA DE MELLO,1,Convencional,"RUA FRANCISCO ALVES, 580",PAULICÉIA,9692000,-23.6691883,-46.5855106,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,370,370
2016,409,237,1,Principal,1287,EM. ISIDORO BATTISTIN,1,Convencional,"ESTRADA GALVAO BUENO, 5085",BATISTINI,9842080,-23.7560124,-46.5772359,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,386,386
2016,296,53,1,Principal,1058,EE. PROFª. MARIA OSÓRIO TEIXEIRA,1,Convencional,"RUA JOSE DIAS DONADELLI, 567",JARDIM BELITA,9851180,-23.7160163,-46.5891974,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,367,367
2016,296,422,1,Principal,1090,EE. PROF JOAO BATISTA BERNARDES,1,Convencional,"RUA JOAO XXIII, 340",JARDIM NAZARETH,9851630,-23.7149755,-46.5938781,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,383,383
2016,284,44,1,Principal,1031,EE. LAURO GOMES DE ALMEIDA,1,Convencional,"RUA GAL. CRAVEIRO LOPES, 110",VILA CAMARGO,9634010,-23.6523798,-46.5684551,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,312,312
2016,283,72,1,Principal,1082,EE. ENGENHEIRO FRANCISCO PRESTES MAIA,1,Convencional,"AVENIDA ÁLVARO GUIMARÃES, 350",PLANALTO,9890001,-23.69373327,-46.56814652,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,389,389
2016,296,395,1,Principal,1317,EE. PROFª. CLARICE MAGALHÃES CASTRO,1,Convencional,"AVENIDA SENADOR RICARDO BATISTA, 355",VILA SIMONE,9812510,-23.7230059,-46.5725757,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,1,Com acessibilidade,269,269
2016,284,209,1,Principal,1228,EMEB. PADRE FIORENTE ELENA,1,Convencional,"RUA DRÁUSIO, 900",PAULICÉIA,9684000,-23.6699264,-46.5963119,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,398,398
2016,409,73,1,Principal,1074,EE. DR. FRANCISCO EMYGDIO PEREIRA NETO,1,Convencional,"R ARMANDO BACKX, 441",JARDIM DAS ACÁCIAS,9811410,-23.7290928,-46.555254,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,331,331
2016,296,63,1,Principal,1074,EE. DOUTOR JOÃO FIRMINO CORREIA DE ARAÚJO,1,Convencional,"RUA MARIA  AZEVEDO FLORENCE, 233",VILA CLARAVAL,9811050,-23.7248032,-46.5673258,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,387,387
2016,284,6,1,Principal,1015,EMEB. PROF. OTÍLIO DE OLIVEIRA,1,Convencional,"RUA LONDRINA, 350",RUDGE RAMOS,9635100,-23.6525083,-46.5709038,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,371,371
2016,284,185,1,Principal,1031,EE. LAURO GOMES DE ALMEIDA,1,Convencional,"RUA GAL. CRAVEIRO LOPES, 110",VILA CAMARGO,9634010,-23.6523798,-46.5684551,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,311,311
2016,174,323,1,Principal,2038,EMEB IRMÃ ODETE MARIA RAMOS PINTO,1,Convencional,"RUA DA COMUNIDADE, 100 A 160",VILA SÃO PEDRO,9784145,-1.0,-1.0,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,362,362
2016,409,80,1,Principal,1082,EE. PROFª FAUSTINA PINHEIRO DA SILVA,1,Convencional,"RUA VALDOMIRO LUIZ, 11",DEMARCHI,9820340,-23.7429754,-46.5661507,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,378,378
2016,409,229,1,Principal,1120,EE. OMAR DONATO BASSANI,1,Convencional,"RUA ERNESTO ZABEU, 253",TATETOS,9835000,-23.828956,-46.5602879,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,386,386
2016,296,450,1,Principal,1570,EMEB. ARI LACERDA RODRIGUES,1,Convencional,"RUA PRIMEIRO DE MAIO, 180",JARDIM DO LAGO,9840770,-23.7401649,-46.5763405,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,237,237
2016,409,242,1,Principal,1023,EM. MARIA ROSA BARBOSA,1,Convencional,"ESTRADA DOS ALVARENGA, 1099",ALVARENGA,9850550,-23.7338127,-46.5791328,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,389,389
2016,283,207,1,Principal,1198,EE. PROFª PEDRA DE CARVALHO,1,Convencional,"RUA CARLOS AYRES, 400",JARDIM VERA CRUZ,9860065,-23.70257889,-46.57808385,1,ATIVO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,374,374
2016,174,109,1,Principal,1155,EE JORNALISTA WLADIMIR HERZOG,1,Convencional,"RUA DO CRUZEIRO, 262",VILA DUSI,9725310,-1.0,-1.0,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,319,319
2016,284,97,1,Principal,1082,EE. DR. FAUSTO CARDOSO FIGUEIRA DE MELLO,1,Convencional,"RUA FRANCISCO ALVES, 580",PAULICÉIA,9692000,-23.6691883,-46.5855106,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,379,379
2016,284,140,1,Principal,1112,EMEB. ESCRITOR JÚLIO ATLAS,1,Convencional,"RUA FRANCISCO ALVES, 1301",PAULICÉIA,9692100,-23.6664654,-46.5919171,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,358,358
2016,174,54,1,Principal,1104,EE PROFA MARIA CRISTINA SCHIMIDT MIRANDA,1,Convencional,"RUA ABRAMO LUCHESI, 12",JARDIM LEBLON,9781030,-1.0,-1.0,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,317,317
2016,409,89,1,Principal,1090,EE. ANTONIO CAPUTO,1,Convencional,"RUA MARCILIO CONRADO, 280",RIO GRANDE,9830290,-23.7817126,-46.5304343,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,381,381
2016,174,361,1,Principal,2089,EMEB PROFª MARINEIDA MENEGHELLI DE LUCCA,1,Convencional,"ALAMEDA PEDRO DE ALCÂNTARA, 235",VILA SÃO PEDRO,9771281,-1.0,-1.0,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,384,384
2016,284,157,1,Principal,1112,EMEB. ESCRITOR JÚLIO ATLAS,1,Convencional,"RUA FRANCISCO ALVES, 1301",PAULICÉIA,9692100,-23.6664654,-46.5919171,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,1,Com acessibilidade,236,236
2016,284,67,1,Principal,1074,EE. MIN. LAUDO FERREIRA DE CAMARGO,1,Convencional,"RUA JÚLIO DE MESQUITA, 757",PAULICÉIA,9691100,-1.0,-1.0,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,384,384
2016,284,85,1,Principal,1082,EE. DR. FAUSTO CARDOSO FIGUEIRA DE MELLO,1,Convencional,"RUA FRANCISCO ALVES, 580",PAULICÉIA,9692000,-23.6691883,-46.5855106,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,377,377
2016,284,92,1,Principal,1082,EE. DR. FAUSTO CARDOSO FIGUEIRA DE MELLO,1,Convencional,"RUA FRANCISCO ALVES, 580",PAULICÉIA,9692000,-23.6691883,-46.5855106,5,BLOQUEADO,1,ATIVO,1,ATIVO,1,ATIVO,0,Sem acessibilidade,383,383
