Município,Nome,Endereço,Bairro,Seções,Seções Especiais,zona_eleitoral
SÃO BERNARDO DO CAMPO,COLÉGIO ADVENTISTA DE SÃO BERNARDO DO CAMPO,"RUA DOIS DE OUTUBRO,33",SANTA TEREZINHA,493ª; Da 496ª à 497ª; 503ª; 534ª;,496ª;,174
SÃO BERNARDO DO CAMPO,COLÉGIO BOM JESUS SÃO JOSÉ,"RUA DOUTOR FLAQUER, 335",CENTRO,Da 6ª à 10ª; Da 182ª à 183ª; 225ª; 230ª; 305ª; 318ª; 406ª; 439ª; 465ª; 476ª; 509ª;,225ª; 305ª;,174
SÃO BERNARDO DO CAMPO,COLÉGIO COC,"AVENIDA FRANCISCO PRESTES MAIA, 116",CENTRO,284ª; 306ª; 315ª; 326ª; 334ª; 338ª; 344ª; 351ª; 356ª; 363ª; 369ª; 379ª;,306ª;,174
SÃO BERNARDO DO CAMPO,COLÉGIO DONA LEONOR MENDES DE BARROS,"RUA AMERICO BRASILIENSE, 449",CENTRO,Da 26ª à 28ª; 119ª; 235ª; 447ª; 449ª; 488ª;,447ª;,174
SÃO BERNARDO DO CAMPO,COLÉGIO OBJETIVO ABC - UNIDADE FREI GASPAR,"RUA FREI GASPAR, 248",CENTRO,491ª; 499ª; 501ª; 518ª;,499ª;,174
SÃO BERNARDO DO CAMPO,EE BRAZILIA TONDI DE LIMA,"RUA IZABEL DE ANDRADE MAIA, 733",VILA SAO JOSÉ,Da 63ª à 72ª; 510ª; 522ª; 528ª;,,174
SÃO BERNARDO DO CAMPO,EE JOAO RAMALHO,"RUA JOSE BONIFACIO, 102",CENTRO,Da 16ª à 23ª; 141ª; 181ª; 203ª; 222ª; 273ª; 282ª; 295ª; 399ª; 420ª; 432ª; 441ª; 454ª; 467ª; 474ª;,295ª;,174
SÃO BERNARDO DO CAMPO,EE JORNALISTA VLADIMIR HERZOG,"RUA DO CRUZEIRO, 262",VILA DUSI,Da 108ª à 112ª; 120ª; 178ª; 246ª; 270ª; 532ª;,,174
SÃO BERNARDO DO CAMPO,EE MARIA IRACEMA MUNHOZ,"RUA MARECHAL RONDON, 100",CENTRO,Da 1ª à 5ª; Da 29ª à 31ª; 117ª; 125ª; 133ª; 176ª; 229ª;,133ª;,174
SÃO BERNARDO DO CAMPO,EE MAURICIO DE CASTRO (ANTIGA EE SÃO PEDRO),RUA DO OLEODUTO S/N,VILA SÃO PEDRO,367ª; 371ª; 374ª; 377ª; 381ª; 385ª; 387ª; 389ª; 394ª; 396ª; 398ª; 413ª; 417ª; 422ª; 430ª; 520ª; 525ª; 527ª; 535ª;,,174
SÃO BERNARDO DO CAMPO,EE METALURGICO LUIS DOS SANTOS,"RUA PRIMO BECHELLI, 133",MONTANHÃO,116ª; 130ª; 138ª; 156ª; 163ª; 174ª; 220ª; 274ª; 291ª; 407ª; 434ª; 458ª; 483ª; 514ª; 524ª;,291ª;,174
SÃO BERNARDO DO CAMPO,EE PROF CARLOS PEZZOLO,"RUA TIRADENTES, 1755",SANTA TEREZINHA,113ª; 118ª; 121ª; 128ª; 134ª; Da 136ª à 137ª; 147ª; 152ª; 154ª; 162ª; 164ª; 168ª; 177ª; 212ª; 409ª; 416ª;,212ª;,174
SÃO BERNARDO DO CAMPO,EE PROF CELIO LUIZ NEGRINI,"ESTRADA DA PEDRA BRANCA, S/N",AREIÃO,143ª; 167ª; 195ª; 205ª; 217ª; 238ª; 253ª;,,174
SÃO BERNARDO DO CAMPO,EE PROF JOAQUIM MOREIRA BERNARDES,"AVENIDA CONDE DE SAO LOURENCO, 65",JARDIM SILVINA,146ª; 149ª; 155ª; 160ª; 169ª; 184ª; 198ª; 206ª; 215ª; 228ª; 287ª; 403ª; 423ª; 440ª; 459ª; 475ª; 507ª; 523ª;,287ª;,174
